filename	gen_size	gen_count	morph_filename	nw_func	nw_kwargs	connectedness	discrete	whole_lex	h_space_incr	lexeme_count	zipf_max	prod_size	rand_tf	lexeme_dist_shape	prior_weight
test_2017-12-19T03-24-03___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-19T03-52-45___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-19T03-55-49___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-19T04-01-59___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-19T04-38-52___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-19T04-48-08___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-19T04-50-16___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-19T05-23-51___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-19T05-36-46___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-19T06-10-58___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-19T06-29-23___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
